URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.4,20240606,active,"2.16.840.1.113762.1.4.1010.4",MedicationClinicalDrug,Medication Clinical Drug,"","StructureDefinition/us-core-medicationrequest,StructureDefinition/us-core-medication,StructureDefinition/us-core-medicationdispense",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.6,20250411,active,"2.16.840.1.113762.1.4.1010.6",CVXVaccinesAdministeredVaccineSet,CVX Vaccines Administered Vaccine Set,"","StructureDefinition/us-core-immunization","hl7.terminology"
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1021.121,20250228,active,"2.16.840.1.113762.1.4.1021.121",FederalAdministrativeSex,Federal Administrative Sex,"Name changed to align with federal administrative requirements in 2025","StructureDefinition/us-core-sex","SCT"
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1021.24,20240330,active,"2.16.840.1.113762.1.4.1021.24",BirthSex,Birth Sex,"","StructureDefinition/us-core-birthsex",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1021.32,20240215,active,"2.16.840.1.113762.1.4.1021.32",GenderIdentity,Gender Identity,"2024-02-14: New version to adjust null values and  allow DAR, and addition of non-binary in the contained snomed set","StructureDefinition/us-core-genderIdentity",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1099.30,20240605,active,"2.16.840.1.113762.1.4.1099.30",CareTeamMemberFunction,Care Team Member Function,"Created to group the old value set from HL7 code system with the new value set using SNOMEDCT and containing the extended set of care team member roles.","StructureDefinition/us-core-careteam,StructureDefinition/us-core-practitionerrole",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1099.54,20240606,active,"2.16.840.1.113762.1.4.1099.54",SpecimenType,Specimen type,"","StructureDefinition/us-core-specimen","SCT"
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1115.41,20250407,active,"2.16.840.1.113762.1.4.1115.41",AdvanceHealthcareDirectiveDocumentTypesGrouper,Advance Healthcare Directive Document Types Grouper,"","StructureDefinition/us-core-adi-documentreference",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1166.22,20230802,active,"2.16.840.1.113762.1.4.1166.22",PregnancyIntention,Pregnancy Intention,"Value set used in family planning annual report (FPAR).","StructureDefinition/us-core-observation-pregnancyintent","SCT"
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1186.8,20240625,active,"2.16.840.1.113762.1.4.1186.8",CommonSubstancesForAllergyAndIntoleranceDocumentationIncludingRefutations,Common substances for allergy and intolerance documentation including refutations,"As noted in https://jira.hl7.org/browse/FHIR-32953, Drug class value set changed 2021-06-21 to align with C-CDA member value set 2.16.840.1.113762.1.4.1114.14","StructureDefinition/us-core-allergyintolerance",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1240.11,20231129,active,"2.16.840.1.113762.1.4.1240.11",SexualOrientationIncludingNullsAndDataAbsentReason,Sexual Orientation Including nulls and Data Absent Reason,"","StructureDefinition/us-core-observation-sexual-orientation",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1240.12,20240906,active,"2.16.840.1.113762.1.4.1240.12",PregnancyStatusObservation,Pregnancy Status Observation,"","StructureDefinition/us-core-observation-pregnancystatus",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1240.8,20231025,active,"2.16.840.1.113762.1.4.1240.8",MedicationAdherence,Medication Adherence,"This value set may change until publication of USCDI V4 representation in US Core and C-CDA is published in 2024","StructureDefinition/us-core-medication-adherence",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1247.71,20241214,active,"2.16.840.1.113762.1.4.1247.71",SocialDeterminantsOfHealthGoals,Social Determinants of Health Goals,"","StructureDefinition/us-core-goal",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1267.11,20240329,active,"2.16.840.1.113762.1.4.1267.11",InformationSourceForMedicationAdherence,Information Source for Medication Adherence,"","StructureDefinition/us-core-medication-adherence",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1267.13,20241008,active,"2.16.840.1.113762.1.4.1267.13",ScreeningAndAssessmentSurveyCodes,Screening and Assessment Survey Codes,"All LOINC survey codes","StructureDefinition/us-core-observation-screening-assessment","LOINC"
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1267.16,20241005,active,"2.16.840.1.113762.1.4.1267.16",AnswerSetWithYesNoAndUnknowns,Answer Set with Yes No and Unknowns,"","StructureDefinition/us-core-interpreter-needed,StructureDefinition/us-core-observation-adi-documentation",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1267.22,20241015,active,"2.16.840.1.113762.1.4.1267.22",RouteOfAdministrationOfTherapeuticAgents,Route of Administration of Therapeutic Agents,"","StructureDefinition/us-core-medicationrequest,StructureDefinition/us-core-medicationdispense",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1267.23,20250510,active,"2.16.840.1.113762.1.4.1267.23",EncounterType,Encounter Type,"","StructureDefinition/us-core-encounter",
